asn,name,class,cc
AS10282,GLOBAL ONE,Carrier,US
AS10283,GLOBAL ONE,Unknown,US
AS10284,GLOBAL ONE,Unknown,US
AS10285,MLS Wireless S/A,Unknown,BR
AS10286,TIESoft Internet Marketing Ltd.,Unknown,US
AS10287,East Tennessee Network,Unknown,US
AS10288,"MetroNet Internet Services, LLC",Unknown,US
AS10289,"WebNetworks International, Inc.",Unknown,US
AS1029,Black Mesa Corporation,Unknown,US
AS10290,Readers Digest,Unknown,US
AS10291,"Amazon.com, Inc.",Unknown,US
AS10292,Cable & Wireless Jamaica,Eyeball,JM
AS10293,"CANTV Servicios, Venezuela",Unknown,VE
AS10294,Coast Community College District,Unknown,US
AS10295,Computer.Net LLC,Unknown,US
AS10296,GBM Corporation,Unknown,US
AS10297,eNET Inc.,Unknown,US
AS10298,"CACI Inc., Federal",Unknown,US
AS10299,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,Eyeball,CO
AS103,Northwestern University,Unknown,US
AS1030,Domain Privacy LLC,Content,US
AS10300,NetSpeak Corporation,Unknown,US
AS10302,SNAPPYDSL.NET,Unknown,US
AS10303,Priori Networks,Unknown,US
AS10304,"Netchannel, INC.",Unknown,US
AS10305,"Verinet Communications, Inc.",Unknown,US
AS10306,"CNETech Net, Inc.",Unknown,US
AS10307,LIME,Unknown,GD
AS10308,Northeastern Illinois University,Unknown,US
AS10309,County of Marin,Unknown,US
AS1031,PEER 1031 LLC,Carrier,US
AS10310,Yahoo Holdings Inc.,Content,US
AS10311,Charter Communications Inc,Unknown,US
AS10312,Heartport Inc.,Unknown,US
AS10313,"Pequot Systems, Inc.",Unknown,US
AS10314,"FirstLight Fiber, Inc.",Unknown,US
AS10315,ez network systems,Unknown,US
AS10316,"Patmos Hosting, Inc.",Unknown,US
AS10317,Trilegiant Corporation,Unknown,US
AS10318,Telecom Argentina S.A.,Eyeball,AR
AS10319,Advanta Corporate Technology,Unknown,US
AS1032,NETSPEEDMS,Unknown,US
AS10320,Internet Services Provider Network,Unknown,US
AS10321,Mercury Communications,Unknown,US
AS10322,Ercot Independent System Operations,Unknown,US
AS10323,"Planet Systems Network, Inc.",Unknown,US
AS10324,Wazoo's Computers,Unknown,US
AS10325,Ingram Micro Inc.,Unknown,US
AS10326,Worcester Polytechnic Institute,Unknown,US
AS10327,ComputerLand of Boise,Unknown,US
AS10328,"IKON/Universal Networks, Inc.",Unknown,US
AS10329,"CoreLAN Communications, Inc.",Unknown,CA
AS1033,HEWLETT PACKARD ENTERPRISE COMPANY,Unknown,US
AS10330,CoreComm Internet Services Inc,Unknown,US
AS10332,MSHOW.com,Unknown,US
AS10333,Digital Insight Corporation,Unknown,US
AS10334,Navisite Internet Services,Unknown,US
AS10335,"Relay Technology, Inc",Unknown,US
AS10336,"PFN, Inc.",Unknown,US
AS10337,IBM AS/400 Division,Unknown,US
AS10338,Communications Billing Technologies,Unknown,US
AS10339,CommTel Internet,Unknown,US
AS1034,HEWLETT PACKARD ENTERPRISE COMPANY,Unknown,US
AS10340,TELE-TECH CO. INC.,Unknown,US
AS10341,IBC,Unknown,CA
AS10342,"Internet Information Services, Inc.",Unknown,US
AS10343,National Aeronautics and Space Administration,Unknown,US
AS10344,CyrusOne LLC,Unknown,US
AS10345,"Internet Connect, Inc.",Unknown,US
AS10346,"RedZone Wireless, LLC",Unknown,US
AS10347,Rand McNally,Unknown,US
AS10348,High Technology Development Corporation,Unknown,US
AS10349,Tulane University,Unknown,US
AS1035,Kimberly-Clark Corporation,Unknown,US
AS10350,NETSchools Corporation,Unknown,US
AS10351,Enertron L.L.C.,Unknown,US
AS10352,Solarus,Unknown,US
AS10353,Southwest Tennessee Community College,Unknown,US
AS10354,QuebecTel Communications Inc,Unknown,CA
AS10355,Digital Service Consultants,Unknown,US
AS10356,Windy City Ltd.,Unknown,US
AS10357,James Madison University,Unknown,US
AS10358,ANCENT GROUP LIMITED,Unknown,HK
AS10359,Epic Systems Corporation,Unknown,US
AS1036,Apple Inc.,Unknown,US
AS10360,AARP,Unknown,US
AS10361,"Bloomberg, LP",Unknown,US
AS10362,UBIK DO BRASIL SOL TECNOLOGIA LTDA.,Unknown,BR
AS10363,"Lee Enterprises, Incorporated",Unknown,US
AS10364,University of Alabama in Huntsville,Eyeball,US
AS10365,WEB EXPRESS,Unknown,US
AS10366,"National Knowledge Networks, Inc.",Unknown,US
AS10367,Fibercast Corporation,Unknown,US
AS10368,RCN,Unknown,US
AS10369,Campbell Soup Company,Unknown,US
AS1037,"RBDC, Inc.",Unknown,US
AS10370,Northwest Airlines,Unknown,US
AS10371,National Aeronautics and Space Administration,Unknown,US
AS10372,"Wells Fargo Bank, N.A.",Unknown,US
AS10373,"Wells Fargo Bank, N.A.",Unknown,US
AS10374,"Wells Fargo Bank, N.A.",Unknown,US
AS10375,"Wells Fargo Bank, N.A.",Unknown,US
AS10376,"Wells Fargo Bank, N.A.",Unknown,US
AS10377,Sound Choice Communications LLC,Unknown,US
AS10378,"NodeWarrior Networks, Inc",Unknown,US
AS10379,Deluxe Corporation,Unknown,US
AS1038,ISP Alliance,Unknown,CA
AS10380,Net XS Communications,Unknown,US
AS10381,"Southwest Cyberport, Inc.",Unknown,US
AS10382,Northwest Pennsylvania Technical Institute,Unknown,US
