asn,name,cc,real_cone_size,observed_tree_size,secure_pct,vulnerable_pct,vuln_count
33650,"Comcast Cable Communications, LLC",US,73,74,2.7027027027027026,24.324324324324326,18
1680,Cellcom Fixed Line Communication L.P,IL,177,285,2.1052631578947367,75.78947368421053,216
135409,Kacific Broadband Satellites Pte Ltd,PH,14,17,5.88235294117647,88.23529411764706,15
5617,Orange Polska Spolka Akcyjna,PL,1186,7690,4.720416124837451,60.75422626788036,4672
24723,Atman Sp. z o.o.,DE,16,16,0.0,62.5,10
24724,Atman Sp. z o.o.,RU,199,486,10.2880658436214,51.23456790123457,249
29414,Politechnika Bialostocka,PL,17,15,0.0,46.666666666666664,7
153057,Li Ruizhi,CN,8,8,0.0,87.5,7
139317,Ningbo Dahuamao Information Technology Co Ltd,CN,78,4579972642024433541418628939558765,5.026026411037328,68.75048878583372,3148753577649260805878525633476229
265937,Alianca TecnoinfoLtda,BR,11,11,0.0,90.9090909090909,10
263966,WorldWifi,BR,87,161456096049962827522312703,5.026026411037328,68.75048878583372,111001855208874623335915738
19531,Nodes Direct,US,9,11,0.0,72.72727272727273,8
12180,Unitas Global,US,13,21,9.523809523809524,52.38095238095239,11
28761,CrimeaCom South LLC,RU,63,116,0.0,100.0,116
4787,PT Cyberindo Aditama,ID,142,1191,3.5264483627204033,87.90931989924434,1047
44267,EN+ TELECOM LLC,RU,16,18,0.0,94.44444444444444,17
36236,"NetActuate, Inc",BR,139,92329970628049,5.026026410917377,68.75048878547263,63477306102267
15440,"UAB ""Baltnetos komunikacijos""",LT,51,126,3.1746031746031744,66.66666666666666,84
13194,"UAB ""Bite Lietuva""",LT,171,537,3.35195530726257,76.53631284916202,411
33659,"Comcast Cable Communications, LLC",US,93,796,2.261306532663317,53.517587939698494,426
33287,"Comcast Cable Communications, LLC",US,148,151,3.9735099337748347,49.00662251655629,74
49418,NETSHIELD LTD,RU,16,16,6.25,81.25,13
58212,dataforest GmbH,DE,101,130,4.615384615384616,67.6923076923077,88
32748,Steadfast,US,11,10,0.0,30.0,3
34087,NTE TELEKOM AS,GB,27,356,25.842696629213485,34.55056179775281,123
2119,Telenor Norge AS,NO,172,212,41.509433962264154,20.28301886792453,43
1820,WNET TELECOM USA Corp.,PL,381,60529735102016898,5.0260264110367885,68.75048878583065,41614488743405132
3326,Datagroup PJSC,UA,457,5049,7.585660526836997,73.42047930283225,3707
5416,BEYON B.S.C.,BH,47,22,0.0,81.81818181818183,18
31452,ZAIN BAHRAIN B.S.C.,BH,21,421534615116297574336807,5.026026411037328,68.75048878583372,289807108293937522636227
8966,Etisalat (ETC),US,412,843070357034368570504365,5.026026411037328,68.75048878583372,579614991269601920234321
