Quadrant,ASN,CC,Cone,Percentile,Name
Q2: THE VICTIMS,30058,US,59,80.42758620689654,FDCservers.net
Q2: THE VICTIMS,41095,GB,59,65.10131578947369,IPTP LTD
Q2: THE VICTIMS,4651,TH,59,67.50862068965517,The Communications Authority of Thailand (CAT)
Q2: THE VICTIMS,8849,LT,58,76.04107142857143,Melbikomas UAB
Q2: THE VICTIMS,58511,AU,58,68.85909090909091,Swoop (Anycast Global Backbone)
Q2: THE VICTIMS,12297,AM,58,88.96551724137932,Telecom Armenia OJSC
Q2: THE VICTIMS,150748,BD,58,100.0,Gmax
Q2: THE VICTIMS,63023,US,57,92.80892857142858,GTHost
Q2: THE VICTIMS,58656,BD,56,100.0,bdHUB Limited
Q2: THE VICTIMS,52444,AR,56,93.97857142857143,Pogliotti & Pogliotti Construcciones S.A.
Q2: THE VICTIMS,4780,TW,55,89.69107142857142,Digital United Inc.
Q2: THE VICTIMS,135718,IN,55,98.52631578947368,DISHAWAVES INFONET PVT. LTD
Q2: THE VICTIMS,4750,TH,55,88.27547169811321,CS LOXINFO PUBLIC COMPANY LIMITED
Q2: THE VICTIMS,41313,BG,55,70.33913043478262,"""NOVATEL"" EOOD"
Q2: THE VICTIMS,17433,HK,54,74.54545454545455,Hytron Network Services Limited
Q2: THE VICTIMS,55818,ID,53,87.69692307692308,Matrix Cable Internet Exchange
Q2: THE VICTIMS,149994,BD,53,93.25490196078431,Rego Communications Ltd
Q2: THE VICTIMS,202984,RU,53,60.13461538461539,Team-Host (Chernyshov Aleksandr Aleksandrovich)
Q2: THE VICTIMS,24198,ID,52,90.12307692307692,PT Datakom Padma Jaya
Q2: THE VICTIMS,4229,US,52,91.98727272727272,Zenlayer Inc
Q2: THE VICTIMS,3170,GB,52,79.26808510638298,VeloxServ Communications Ltd
Q2: THE VICTIMS,8449,KG,52,80.95849056603774,"""ElCat"" Ltd."
Q2: THE VICTIMS,35104,KZ,51,66.19607843137256,Jusan Mobile JSC
Q2: THE VICTIMS,9931,TH,51,67.17058823529412,National Telecom Public Company Limited
Q2: THE VICTIMS,137085,IN,51,82.91698113207548,ANONET COMMUNICATIONS PVT LTD
