asn,cone,verdict,secure_parents,parent_count
30330,0,STUB: VULNERABLE STABLE,"[33657, 3356, 33287]",3
13938,0,STUB: VULNERABLE STABLE,"[701, 174, 13335, 3356, 6461]",6
10461,0,STUB: VULNERABLE STABLE,"[174, 13335, 9498, 3356]",6
62738,0,STUB: VULNERABLE STABLE,"[19754, 3257, 3356]",4
270694,0,STUB: VULNERABLE STABLE,"[17222, 3356]",4
1294,0,STUB: VULNERABLE STABLE,"[701, 9498, 3356, 6461]",7
396274,0,STUB: VULNERABLE STABLE,"[3356, 15164]",2
19512,0,STUB: VULNERABLE STABLE,"[3491, 3356, 8220, 701, 702]",8
393579,0,STUB: VULNERABLE STABLE,"[23314, 3356, 1828]",3
26344,0,STUB: VULNERABLE STABLE,"[7018, 135607, 3356, 6461]",8
28594,0,STUB: VULNERABLE STABLE,[3356],3
63417,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
11200,0,STUB: VULNERABLE STABLE,"[33652, 3356]",2
44706,0,STUB: VULNERABLE STABLE,"[49425, 3356, 8220, 174]",4
268377,0,STUB: VULNERABLE STABLE,[3356],2
395266,0,STUB: VULNERABLE STABLE,"[20904, 174, 16086, 18106, 9498, 3356]",8
28150,0,STUB: VULNERABLE STABLE,[3356],3
32958,0,STUB: VULNERABLE STABLE,"[3356, 22909]",2
55136,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
55706,0,STUB: VULNERABLE STABLE,"[3356, 6453]",3
25215,0,STUB: VULNERABLE STABLE,"[5511, 1299, 3356, 6461]",5
11724,0,STUB: VULNERABLE STABLE,"[6224, 3356, 6223]",3
36595,0,STUB: VULNERABLE STABLE,"[7385, 3356, 36103]",3
47000,0,STUB: VULNERABLE STABLE,"[3356, 23005]",3
266455,0,STUB: VULNERABLE STABLE,[3356],2
400042,0,STUB: VULNERABLE STABLE,"[3356, 13415]",2
273513,0,STUB: VULNERABLE STABLE,[3356],2
28435,0,STUB: VULNERABLE STABLE,"[28458, 3356]",3
14962,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
205419,0,STUB: VULNERABLE STABLE,"[24724, 32098, 1299, 3356]",4
393286,0,STUB: VULNERABLE STABLE,"[33650, 3356]",2
40410,0,STUB: VULNERABLE STABLE,"[7018, 174, 33650, 33657, 3356]",6
7148,0,STUB: VULNERABLE STABLE,"[3356, 6461]",4
60341,0,STUB: VULNERABLE STABLE,"[3356, 174]",3
31883,0,STUB: VULNERABLE STABLE,"[3356, 33654]",2
33394,0,STUB: VULNERABLE STABLE,[3356],2
60819,0,STUB: VULNERABLE STABLE,"[174, 20473, 6939, 3356]",5
16432,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
19717,0,STUB: VULNERABLE STABLE,"[7385, 3356]",2
60514,0,STUB: VULNERABLE STABLE,[3356],3
269237,0,STUB: VULNERABLE STABLE,[3356],2
13904,0,STUB: VULNERABLE STABLE,"[6939, 3356, 6461, 13693]",7
52643,0,STUB: VULNERABLE STABLE,[3356],3
25108,0,STUB: VULNERABLE STABLE,"[6939, 3356]",3
21520,0,STUB: VULNERABLE STABLE,"[32098, 3356]",3
19721,0,STUB: VULNERABLE STABLE,"[33659, 3356, 33287]",4
263648,0,STUB: VULNERABLE STABLE,[3356],2
397719,0,STUB: VULNERABLE STABLE,"[3356, 23005, 174]",3
31923,0,STUB: VULNERABLE STABLE,"[33668, 3356, 23005]",5
9092,0,STUB: VULNERABLE STABLE,"[174, 3320, 6939, 3356]",6
6250,0,STUB: VULNERABLE STABLE,"[13760, 12083, 32028, 3356]",6
204440,0,STUB: VULNERABLE STABLE,"[3356, 6461, 21949]",3
22802,0,STUB: VULNERABLE STABLE,[3356],2
16719,0,STUB: VULNERABLE STABLE,"[3356, 6461, 174, 46887]",4
3412,0,STUB: VULNERABLE STABLE,[3356],3
26211,0,STUB: VULNERABLE STABLE,"[174, 33651, 1299, 3356, 21949]",6
262181,0,STUB: VULNERABLE STABLE,"[3356, 27781]",3
135530,0,STUB: VULNERABLE STABLE,"[2914, 1221, 3356, 4637]",6
15113,0,STUB: VULNERABLE STABLE,"[3491, 7018, 1299, 9498, 3356, 6461]",8
21970,0,STUB: VULNERABLE STABLE,"[33668, 7018, 3356]",3
6307,0,STUB: VULNERABLE STABLE,"[13335, 3257, 3356, 6461]",5
19951,0,STUB: VULNERABLE STABLE,"[7018, 3356]",3
