asn,name,cone,verdict,dirty,total
41108,comtrance service GmbH,28,SECURE (Active Local ROV),1,1
1103,SURF B.V.,28,SECURE (Active Local ROV),2,5
52376,CABASE Camara Arg de Base de Datos y Serv en Linea,28,SECURE (Active Local ROV),4,5
262645,BrasilNET Telecomunicações do Parana LTDA,27,PARTIAL (Mixed Feeds),2,6
237,Merit Network Inc.,27,PARTIAL (Mixed Feeds),1,4
803,Saskatchewan Telecommunications,27,SECURE (Active Local ROV),2,5
6821,Makedonski Telekom AD-Skopje,27,SECURE (Active Local ROV),2,4
2611,BELNET,27,SECURE (Full Coverage),0,3
12306,Plus.line AG,26,SECURE (Active Local ROV),3,6
262288,Go In Tecnologia,26,PARTIAL (Mixed Feeds),2,3
15943,wilhelm.tel GmbH,26,SECURE (Active Local ROV),3,8
6306,"TELEFONICA VENEZOLANA, C.A. (Movistar)",26,SECURE (Active Local ROV),2,4
2027,MilkyWan,26,SECURE (Active Local ROV),6,7
33915,Vodafone Libertel B.V.,26,SECURE (Full Coverage),0,1
208453,Johan Karlsson (SweHosting),26,SECURE (Active Local ROV),2,3
262342,WZNET TELECOM LTDA,26,PARTIAL (Mixed Feeds),3,4
328333,Fixed Mobile Telecommunications (Pty) LTD,25,PARTIAL (Mixed Feeds),3,4
15964,CAMTEL,25,SECURE (Active Local ROV),4,6
18001,Dialog Axiata PLC.,25,SECURE (Active Local ROV),5,8
7122,Bell Canada,25,SECURE (Full Coverage),0,1
5413,Wavenet Limited,25,SECURE (Full Coverage),0,3
61618,VIVA TECNOLOGIA TELECOM LTDA,25,PARTIAL (Mixed Feeds),1,2
6848,Telenet BV,25,SECURE (Full Coverage),0,2
57630,84 Grams AB,25,SECURE (Full Coverage),0,3
15954,"Tecnocratica Centro de Datos, S.L.",24,SECURE (Active Local ROV),1,4
553,BelWü,24,SECURE (Active Local ROV),1,5
33185,Hive Data Center Inc.,24,SECURE (Full Coverage),0,4
50266,Odido Netherlands B.V.,24,SECURE (Active Local ROV),1,5
55805,MobiCom Corporation,24,SECURE (Active Local ROV),1,3
22742,Connecticut Education Network,24,SECURE (Active Local ROV),1,4
196714,Thueringer Netkom GmbH,23,PARTIAL (Mixed Feeds),1,3
44684,Mythic Beasts Ltd,23,SECURE (Active Local ROV),1,2
