asn,cc,name,cone,unsigned_customers,bad_pct
29802,US,"HIVELOCITY, Inc.",106,1104,45.171849427168574
43426,XX,Netassist International EOOD,111,1103,46.38351555929353
64073,NZ,Vetta Online Ltd,1990,1101,45.81772784019975
206499,GB,LOCIX LIMITED,389,1099,46.50867541261109
139901,BD,Apple Communication Ltd.,105,1098,38.28451882845189
8280,GR,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services,284,1097,45.7464553794829
139009,BD,Windstream Communication Limited,273,1096,37.32970027247956
58682,BD,Level3 Carrier Ltd.,259,1096,37.30428863172226
58715,BD,EARTH TELECOMMUNICATION (Pvt) LTD.,145,1096,38.42917251051893
150178,BD,EXABYTE LTD,157,1095,37.82383419689119
137491,BD,Peerex Networks Ltd,72,1094,38.43991567111736
34854,GB,Staclar Carrier Ltd.,871,1093,46.35284139100933
58656,BD,bdHUB Limited,59,1093,39.31654676258993
24198,ID,PT Datakom Padma Jaya,69,1092,44.97528830313015
132770,IN,Gazon Communications India Limited,62,1091,43.51814918228959
64315,ID,PT Mitra Visioner Pratama,129,1084,45.95167443832132
12859,NL,BIT BV,2634,1082,45.847457627118644
971,US,PureVoltage Hosting Inc.,218,1082,46.08177172061329
1836,CH,green.ch AG,12741,1081,46.117747440273035
58057,CH,Securebit AG,5251,1081,46.117747440273035
55720,MY,Gigabit Hosting Sdn Bhd,657,1081,46.117747440273035
139341,SG,WeChat/QQ CDN,276,1081,46.117747440273035
54994,CA,Meteverse Limited,209,1081,46.117747440273035
40676,US,Psychz Networks,87,1081,46.117747440273035
42473,AT,Anexia Cloud Solutions GmbH,80,1081,46.117747440273035
138915,HK,Kaopu Cloud HK Limited,74,1081,46.117747440273035
35661,FR,VIRTUA SYSTEMS SAS,68,1081,46.117747440273035
196695,RU,NetOne Rus JSC,59,1081,46.117747440273035
49063,RU,Data Storage Center JSC,59,1081,46.117747440273035
139317,XX,Ningbo Dahuamao Information Technology Co Ltd,83,1080,46.075085324232084
9848,KR,SEJONG NETWORKS,58,1080,46.075085324232084
270735,BR,COMPUTIZE NETWORK TELECOMUNICACOES LTDA,94,850,57.549085985104945
52965,BR,1Telecom,286,750,60.53268765133172
271253,BR,LINK BRASIL TELECOMUNICACOES LTDA,342,733,58.40637450199203
11164,US,Internet2 I2PX,184,730,70.32755298651252
53087,BR,TELY Ltda.,177,726,60.70234113712375
52573,BR,Une Telecom Ltda,147,649,56.28794449262793
52554,BR,Rede MegasNet Telecomunicações,90,630,61.04651162790697
263444,BR,Open X Tecnologia Ltda,181,573,60.252365930599375
9050,RO,Orange Romania S.A.,208,515,37.05035971223021
8953,RO,Orange Romania S.A.,109,515,37.05035971223021
28260,BR,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,107,503,59.73871733966746
53181,BR,K2 Telecom e Multimidia LTDA ME,255,483,56.29370629370629
28598,BR,MOB,219,477,58.671586715867164
28146,BR,MHNET TELECOM,158,465,60.625814863103
263966,BR,WorldWifi,68,425,61.06321839080459
11432,BR,Telium Telecomunicações Ltda,245,418,62.202380952380956
3326,UA,Datagroup PJSC,402,416,40.90462143559488
266931,BR,NOVELL INTERNET,58,376,59.77742448330684
12741,PL,Netia SA,873,351,52.94117647058824
263009,BR,FORTE TELECOM LTDA.,228,320,58.18181818181818
23106,BR,American Tower Brasil,254,307,54.72370766488414
264997,BR,Direct Telecom Ltda,73,306,63.88308977035491
3255,UA,Ukrainian Academic and Research Network,264,290,48.41402337228715
35297,UA,Dataline LLC,325,281,40.08559201141227
10796,US,Charter Communications Inc,265,280,65.57377049180327
29535,PL,Orange Polska Spolka Akcyjna,380,268,46.608695652173914
265269,BR,MEGA TELE INFORMATICA,165,261,62.74038461538461
262907,BR,Brasil TecPar,107,257,56.98447893569845
24724,PL,Atman Sp. z o.o.,58,246,54.18502202643172
