asn,name,cc,cone,verdict,customer_avg_signing,quadrant,description
4766,Korea Telecom,KR,1116,SECURE (Full Coverage),5.416530612244898,Q3: WASTED TECH,Secure Provider + Lazy Customers
137409,GSL Networks Pty LTD,AU,1072,SECURE (Active Local ROV),79.76467391304348,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
9049,"JSC ""ER-Telecom Holding""",RU,1053,PARTIAL (Mixed Feeds),32.97543424317618,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
7195,EdgeUno,CO,1043,SECURE (Active Local ROV),80.2607476635514,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
37468,Angola Cables,AO,969,SECURE (Active Local ROV),59.34699453551912,Q3: WASTED TECH,Secure Provider + Lazy Customers
21859,Zenlayer Inc,US,969,PARTIAL (Mixed Feeds),73.33611111111111,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
201054,Stowarzyszenie e-Poludnie,PL,951,SECURE (Full Coverage),54.81111111111111,Q3: WASTED TECH,Secure Provider + Lazy Customers
58717,Summit Communications Ltd,BD,926,PARTIAL (Mixed Feeds),97.8782894736842,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
4635,HKIX Route Servers,HK,902,PARTIAL (Mixed Feeds),59.018918918918914,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
12741,Netia SA,PL,872,PARTIAL (Mixed Feeds),44.128365384615385,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
59919,Brainbox S.r.l.,IT,835,PARTIAL (Mixed Feeds),10.0,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
35598,INETCOM CARRIER LLC,RU,831,PARTIAL (Mixed Feeds),49.514074074074074,Q4: THE SWAMP,Vulnerable Provider + Lazy Customers
13786,"Seaborn (Seabras USA, LLC)",US,818,SECURE (Active Local ROV),61.59130434782608,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
60068,Datacamp Limited (CDN77 / DataPacket),GB,768,SECURE (Active Local ROV),86.79642857142856,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
3223,Voxility LLP,GB,731,PARTIAL (Mixed Feeds),71.72677595628416,Q2: THE VICTIMS,Vulnerable Provider + Diligent Customers
5405,Inter.link GmbH,DE,728,SECURE (Active Local ROV),78.12413793103448,Q1: GOLD STANDARD,Secure Provider + Diligent Customers
209,Lumen (ex. Qwest),US,698,CORE: PROTECTED,11.8296875,Q3: WASTED TECH,Secure Provider + Lazy Customers
