asn,name,cc,verdict,apnic_score,cone,dirty_feeds,total_feeds
8473,Bahnhof AB,XX,Transit: INHERITED (Clean Pipe),-1,58,0,3
11232,Midcontinent Communications,XX,Transit: UNVERIFIED (Dirty Feed),-1,58,2,5
21413,Envia Tel GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,57,2,6
12271,Charter Communications Inc,XX,Transit: UNVERIFIED (Dirty Feed),-1,55,2,2
20207,Gigared S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,54,3,5
28725,CETIN a.s.,XX,Transit: INHERITED (Clean Pipe),-1,54,0,2
9136,WOBCOM GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,53,2,5
6849,"JSC ""Ukrtelecom""",XX,Transit: UNVERIFIED (Dirty Feed),-1,52,4,10
29695,Lyse Tele AS,XX,Transit: INHERITED (Clean Pipe),-1,51,0,3
394177,Shift Hosting LLC,XX,Transit: INHERITED (Clean Pipe),-1,50,0,3
9268,Over The Wire Pty Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,50,1,2
6661,POST Luxembourg,XX,Transit: UNVERIFIED (Dirty Feed),-1,49,1,2
21700,"Neptune Networks, LLC",XX,Transit: INHERITED (Clean Pipe),-1,48,0,3
55666,PT Media Sarana Data,XX,Transit: UNVERIFIED (Dirty Feed),-1,47,10,11
24875,NovoServe B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,46,3,7
1136,KPN B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,46,2,4
3262,"SAREnet, S.A.",XX,Transit: UNVERIFIED (Dirty Feed),-1,46,1,4
199081,Lancom Ltd.,XX,Transit: UNVERIFIED (Dirty Feed),-1,45,1,6
2860,"NOS COMUNICACOES, S.A.",XX,Transit: UNVERIFIED (Dirty Feed),-1,45,1,3
11776,Breezeline,XX,Transit: UNVERIFIED (Dirty Feed),-1,44,1,2
4181,TDS TELECOM,XX,Transit: INHERITED (Clean Pipe),-1,43,0,3
25400,Telia Norge AS,XX,Transit: INHERITED (Clean Pipe),-1,42,0,1
9607,"BroadBand Tower, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,42,2,4
3816,COLOMBIA TELECOMUNICACIONES S.A. ESP BIC,XX,Transit: UNVERIFIED (Dirty Feed),-1,42,1,1
29169,GANDI SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,42,4,7
21738,Rozint,XX,Transit: UNVERIFIED (Dirty Feed),-1,41,1,4
8283,Netwerkvereniging Coloclue,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,8,9
1653,Vetenskapsrådet / SUNET,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,1,1
36352,HostPapa,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,5,8
61461,Airtek Solutions C.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,40,5,10
25248,RADIOKOMUNIKACE a.s.,XX,Transit: INHERITED (Clean Pipe),-1,39,0,3
51088,A2B IP B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,38,1,3
5408,National Infrastructures for Research and Technology S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,38,2,3
6799,Ote SA (Hellenic Telecommunications Organisation),XX,Transit: UNVERIFIED (Dirty Feed),-1,38,1,1
29405,VNET a.s.,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,1,6
6736,Institute for Research in Fundamental Sciences,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,1,1
6866,Cyprus Telecommunications Authority,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,2,6
16302,Suomi Communications Oy,XX,Transit: UNVERIFIED (Dirty Feed),-1,36,2,4
8434,Telenor Sverige AB,XX,Transit: INHERITED (Clean Pipe),-1,35,0,1
25512,CD-Telematika a.s.,XX,Transit: INHERITED (Clean Pipe),-1,35,0,2
394256,Tech Futures Interactive Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,4,7
34019,Hivane Association,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,6,10
4213,Krypt Technologies,XX,Transit: UNVERIFIED (Dirty Feed),-1,35,1,5
197071,active 1 GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,3,5
17054,Expedient,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,2,8
680,Deutsches Forschungsnetz (DFN),XX,Transit: INHERITED (Clean Pipe),-1,34,0,3
45204,GEMNET LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,34,22,28
786,Jisc Services Limited,XX,Transit: INHERITED (Clean Pipe),-1,33,0,2
59105,Home NOC Operators Group,XX,Transit: UNVERIFIED (Dirty Feed),-1,33,5,7
3329,Vodafone Greece,XX,Transit: UNVERIFIED (Dirty Feed),-1,33,2,3
41720,Revolution Provider S.r.l.,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,2,5
1241,Nova Telecommunications & Media Single Member S.A,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,2,3
29670,"Individual Network Berlin (""IN-Berlin"") e.V.",XX,Transit: UNVERIFIED (Dirty Feed),-1,32,3,8
39326,Syntura Group Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,32,1,2
35432,Cablenet Communication Systems plc,XX,Transit: UNVERIFIED (Dirty Feed),-1,31,1,2
47692,Nessus GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,31,2,4
131429,MOBIFONE Corporation,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,6,9
10143,Exetel Pty Ltd,XX,Transit: INHERITED (Clean Pipe),-1,30,0,1
12337,noris network AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,8
20676,Plusnet GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,1,4
12859,BIT BV,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,1,2
39216,AL-SARD FIBER Co.,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,8
56911,Warian S.R.L.,XX,Transit: UNVERIFIED (Dirty Feed),-1,30,4,7
29518,Bredband2 AB,XX,Transit: INHERITED (Clean Pipe),-1,29,0,2
13213,UK-2 Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,29,3,8
32425,Pixel Factory,XX,Transit: UNVERIFIED (Dirty Feed),-1,29,2,6
41108,comtrance service GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,1,1
1103,SURF B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,2,5
11967,Hop179 LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,28,5,7
803,Saskatchewan Telecommunications,XX,Transit: UNVERIFIED (Dirty Feed),-1,27,3,5
2611,BELNET,XX,Transit: INHERITED (Clean Pipe),-1,27,0,3
6821,Makedonski Telekom AD-Skopje,XX,Transit: UNVERIFIED (Dirty Feed),-1,27,2,4
33915,Vodafone Libertel B.V.,XX,Transit: INHERITED (Clean Pipe),-1,26,0,1
2027,MilkyWan,XX,Transit: UNVERIFIED (Dirty Feed),-1,26,5,7
208453,Johan Karlsson (SweHosting),XX,Transit: UNVERIFIED (Dirty Feed),-1,26,2,3
6306,"TELEFONICA VENEZOLANA, C.A. (Movistar)",XX,Transit: UNVERIFIED (Dirty Feed),-1,26,3,4
15943,wilhelm.tel GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,26,3,8
57630,84 Grams AB,XX,Transit: INHERITED (Clean Pipe),-1,25,0,3
18001,Dialog Axiata PLC.,XX,Transit: UNVERIFIED (Dirty Feed),-1,25,5,8
5413,Wavenet Limited,XX,Transit: INHERITED (Clean Pipe),-1,25,0,3
6848,Telenet BV,XX,Transit: INHERITED (Clean Pipe),-1,25,0,2
7122,Bell Canada,XX,Transit: INHERITED (Clean Pipe),-1,25,0,1
15964,CAMTEL,XX,Transit: UNVERIFIED (Dirty Feed),-1,25,4,6
33185,Hive Data Center Inc.,XX,Transit: INHERITED (Clean Pipe),-1,24,0,4
553,BelWü,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,5
50266,Odido Netherlands B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,5
22742,Connecticut Education Network,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,4
55805,MobiCom Corporation,XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,3
15954,"Tecnocratica Centro de Datos, S.L.",XX,Transit: UNVERIFIED (Dirty Feed),-1,24,1,4
207252,Felix Gassan,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,2,5
44684,Mythic Beasts Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,1,2
39120,Convergenze S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,23,4,8
39122,Blacknight Internet Solutions Limited,XX,Transit: INHERITED (Clean Pipe),-1,23,0,3
39642,Norlys Digital A/S,XX,Transit: INHERITED (Clean Pipe),-1,23,0,3
41960,Nextpertise B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,4,7
51048,Next Connex Ltd,XX,Transit: INHERITED (Clean Pipe),-1,22,0,2
13009,Redcentric Solutions Ltd,XX,Transit: INHERITED (Clean Pipe),-1,22,0,3
212027,PebbleHost Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,3,7
32270,"LD Telecommunications, Inc.",XX,Transit: INHERITED (Clean Pipe),-1,22,0,3
24521,PT Data Utama Dinamika,XX,Transit: UNVERIFIED (Dirty Feed),-1,22,4,4
18809,Cable Onda,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,2,3
12611,R-KOM Regensburger,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,3,5
13127,Odido Netherlands B.V.,XX,Transit: INHERITED (Clean Pipe),-1,21,0,1
15169,Google LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,9,15
400304,Redoubt Networks (Crunchbits),XX,Transit: INHERITED (Clean Pipe),-1,21,0,2
15623,Cyberlink AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,21,4,8
24971,MasterDC s.r.o.,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,3
25144,Telekomunikacije Republike Srpske a.d.,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,2,3
34953,RelAix Networks GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,5
35047,Abissnet sh.a.,XX,Transit: INHERITED (Clean Pipe),-1,20,0,3
36925,Orange Maroc,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,3,4
21334,One Hungary Ltd.,XX,Transit: INHERITED (Clean Pipe),-1,20,0,2
46475,"Limestone Networks, Inc.",XX,Transit: UNVERIFIED (Dirty Feed),-1,20,5,9
30456,Cosmic Global Networks,XX,Transit: UNVERIFIED (Dirty Feed),-1,20,1,4
8968,BT Italia S.p.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,4
50973,Vodafone Albania Sh.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,4
209097,NETSYST SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,3,6
20712,Andrews & Arnold Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,2,5
20912,Panservice s.a.s. di Cuseo Fabrizio & C.,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,5
31252,StarNet Solutii SRL,XX,Transit: UNVERIFIED (Dirty Feed),-1,19,1,7
8426,Claranet Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,3,6
13285,TalkTalk Communications Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,2,6
48314,IP-Projects GmbH & Co. KG,XX,Transit: UNVERIFIED (Dirty Feed),-1,18,7,11
8585,Crnogorski Telekom a.d.Podgorica,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,1,1
215467,Skhron OU,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,5,7
27882,Telefónica Celular de Bolivia S.A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,6,6
13101,TNG Stadtnetz GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,1,5
39040,NTS workspace AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,3,3
32133,Ting Fiber Inc.,XX,Transit: UNVERIFIED (Dirty Feed),-1,17,2,4
24723,Atman Sp. z o.o.,XX,Transit: INHERITED (Clean Pipe),-1,16,0,3
49505,JSC Selectel,XX,Transit: UNVERIFIED (Dirty Feed),-1,16,4,8
200132,Peter-Paul Maria Kurstjens,XX,Transit: UNVERIFIED (Dirty Feed),-1,16,3,6
20904,Cinia Oy (fka. Netplaza),XX,Transit: INHERITED (Clean Pipe),-1,16,0,2
4581,Socket Holdings Corporation,XX,Transit: INHERITED (Clean Pipe),-1,16,0,3
47526,handily networks GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,16,1,5
8728,AS INFONET,XX,Transit: INHERITED (Clean Pipe),-1,15,0,3
8943,Jump Networks Ltd,XX,Transit: INHERITED (Clean Pipe),-1,15,0,2
34428,Giulio Lo Presti,XX,Transit: UNVERIFIED (Dirty Feed),-1,15,1,6
3308,Telia Company AB (Denmark),XX,Transit: INHERITED (Clean Pipe),-1,15,0,1
44486,"Oliver Horscht is trading as ""SYNLINQ""",XX,Transit: UNVERIFIED (Dirty Feed),-1,15,3,5
61468,CEDIA,XX,Transit: UNVERIFIED (Dirty Feed),-1,15,6,9
5539,SpaceNet AG,XX,Transit: UNVERIFIED (Dirty Feed),-1,15,3,8
31263,MYNET S.R.L.,XX,Transit: UNVERIFIED (Dirty Feed),-1,15,1,2
33983,ARTMOTION SH.P.K.,XX,Transit: INHERITED (Clean Pipe),-1,14,0,3
198385,AlpineDC SA,XX,Transit: UNVERIFIED (Dirty Feed),-1,14,2,5
2609,Tunisia BackBone AS,XX,Transit: UNVERIFIED (Dirty Feed),-1,14,3,5
3132,Red Cientifica Peruana,XX,Transit: UNVERIFIED (Dirty Feed),-1,14,4,7
4725,SoftBank Corp.,XX,Transit: UNVERIFIED (Dirty Feed),-1,14,1,2
30742,Bremen Briteline GmbH,XX,Transit: INHERITED (Clean Pipe),-1,14,0,6
8240,Information System Authority Republic of Estonia,XX,Transit: INHERITED (Clean Pipe),-1,13,0,2
8365,Man-da.de GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,3
8468,Cityfibre Limited,XX,Transit: INHERITED (Clean Pipe),-1,13,0,2
8888,xTom Pty Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,2,6
42184,TKRZ Stadtwerke GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,5
26210,AXS Bolivia S. A.,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,1
50877,Airbeam S.r.l.,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,4,7
51087,Bling Network Ltd,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,5,7
43541,VSHosting s.r.o.,XX,Transit: INHERITED (Clean Pipe),-1,13,0,2
28685,Routit BV,XX,Transit: INHERITED (Clean Pipe),-1,13,0,1
37187,Inq. Digital Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,2
21263,TeleData GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,2,6
30851,Sileman Sp. z o.o.,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,3,4
211588,Innovation Harbor B.V.,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,2
400212,VergeTel Group LLC,XX,Transit: UNVERIFIED (Dirty Feed),-1,13,1,3
41009,Oleksandr Melnyk,XX,Transit: UNVERIFIED (Dirty Feed),-1,12,1,3
50340,Selectel - Moscow,XX,Transit: UNVERIFIED (Dirty Feed),-1,12,8,11
214439,"Zhuhai Xiyun Cloud Technology Co., Ltd.",XX,Transit: UNVERIFIED (Dirty Feed),-1,12,2,2
42541,Fiberby ApS,XX,Transit: INHERITED (Clean Pipe),-1,12,0,3
59645,Tobias Fiebig,XX,Transit: UNVERIFIED (Dirty Feed),-1,12,3,6
29608,OVEA SAS,XX,Transit: UNVERIFIED (Dirty Feed),-1,12,3,5
398447,"OHANACRAFT, LLC",XX,Transit: UNVERIFIED (Dirty Feed),-1,12,1,2
47447,23M GmbH,XX,Transit: INHERITED (Clean Pipe),-1,12,0,4
8391,Knipp Medien und Kommunikation GmbH,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,2,2
8680,Sure (Guernsey) Limited,XX,Transit: UNVERIFIED (Dirty Feed),-1,11,1,2
328594,SUDATCHAD SA/CA,XX,Transit: INHERITED (Clean Pipe),-1,11,0,1
149107,TRUMVPS COMPANY LIMITED,XX,Transit: INHERITED (Clean Pipe),-1,11,0,1
51519,Karabro AB,XX,Transit: INHERITED (Clean Pipe),-1,11,0,2
