asn,count,cone,name
28398,12,10,INTERNET TELEFONIA Y TV DE MICHOACAN SA DE CV
211826,12,9,Istqrar for Servers Services Ltd
2,12,7,University of Delaware
47764,12,6,LLC VK (Mail.ru)
50113,12,6,FIRST SERVER LIMITED
6621,12,5,"Hughes Network Systems, LLC"
215828,12,5,"Tizian Maxime Weigt trading as ""TMW Global Networks"""
271493,12,4,SPEED NET PEDRA
213449,12,3,Jann-Ole Wagenaar
138995,12,2,Antbox Networks Limited
52752,12,2,Vegas Telecom Informática Ltda.
60447,12,2,I NET BULGARIA EOOD
53122,12,1,super midia tv a cabo ltda
35052,12,1,ACONET
12041,12,1,"Afilias, Inc."
47481,12,1,Lime HD LLC
207137,12,1,PacketHub S.A.
22317,12,1,"F5, Inc."
205398,12,0,Tyler OBrien
42909,12,0,Community DNS Limited
200242,12,0,Ember Ana
149440,12,0,Evoxt Sdn. Bhd.
2134,12,0,"Santander Global Technology and Operations, S.L."
29997,12,0,"Vitalwerks Internet Solutions, LLC"
24319,12,0,Akamai Technologies Tokyo ASN
205941,12,0,Lungu Stefan Gabriel
11414,12,0,Nvidia Corporation
64049,12,0,Reliance Jio Infocomm Pte. Ltd.
16789,12,0,"YARDI SYSTEMS, INC"
31747,12,0,"BlackRock Financial Management, Inc."
7483,12,0,"Skycloud Computing co., Ltd."
19239,12,0,KLA Corporation
11031,12,0,Orbis Investments (Canada) Limited
9269,12,0,Hong Kong Broadband Network Ltd.
14689,12,0,Enfusion LTD. LLC
394161,12,0,"Tesla Motors, Inc."
397468,12,0,"Think On, Inc."
203380,12,0,DA International Group Ltd.
395753,12,0,KKR
38191,12,0,Infosys Technologies Ltd
19197,12,0,"Stefanini, Inc."
4195,12,0,D. E. Shaw & Co. LP
19679,12,0,"Dropbox, Inc."
17044,12,0,"THE INTERPUBLIC GROUP OF COMPANIES, INC."
24482,11,65177,SG.GS
35280,11,52107,F5 Networks SARL
3303,11,5983,Swisscom (Schweiz) AG
12741,11,1065,Netia SA
3223,11,590,Voxility LLP
23947,11,443,PT Mora Telematika Indonesia Tbk
55836,11,370,Reliance Jio Infocomm Limited
6204,11,224,INTERKVM HOST SRL
8717,11,217,A1 Bulgaria EAD
38193,11,161,Transworld Associates (Pvt.) Ltd.
55685,11,143,PT Jala Lintas Media
12129,11,129,"123.Net, Inc."
9198,11,115,JSC Kazakhtelecom
31287,11,114,IPACCT CABLE Ltd
44901,11,104,Belcloud LTD
139901,11,97,Apple Communication Ltd.
18734,11,92,"Operbes, S.A. de C.V."
13767,11,86,"DataBank Holdings, Ltd."
262589,11,84,SAMM (Internexa)
917,11,83,"Misaka Network, Inc."
197068,11,54,High Load Lab (Qrator)
6774,11,50,BICS (Belgacom)
43727,11,47,JSC KVANT-TELEKOM
12722,11,38,RECONN LLC
38082,11,29,"True International Gateway Co., Ltd."
14537,11,23,Continent 8 LLC
38496,11,21,PT Cyber Network Indonesia
48314,11,17,IP-Projects GmbH & Co. KG
38040,11,14,TOT Public Company Limited
273103,11,12,TV&MÁS S.A.S
37680,11,8,Cool Ideas Service Provider (Pty) Ltd
200019,11,8,ALEXHOST SRL
50340,11,8,Selectel - Moscow
38880,11,7,Micron21 Datacentre Pty Ltd
200449,11,6,Qrator Labs CZ s.r.o.
214675,11,6,Hidenori Matsuo
265171,11,4,SITELBRA LTDA
7155,11,4,"ViaSat,Inc."
1547,11,4,Interdnestrcom SZAO
38623,11,3,Metfone (Viettel Cambodia)
14061,11,3,DigitalOcean LLC
22351,11,3,INTELSAT GLOBAL SERVICE CORPORATION
14127,11,3,Iland Internet Solutions Corporation
198651,11,3,"HOSTLINE, UAB"
3,11,2,Massachusetts Institute of Technology
22612,11,2,"Namecheap, Inc."
63741,11,2,DCNET TELECOM
30536,11,2,"Circle Computer Resources, Inc."
50889,11,2,NVIDIA Ltd
57073,11,2,LLC Wildberries
54801,11,1,Zillion Network Inc.
64096,11,1,"Internet Harbor International Co., Ltd."
52759,11,1,DB3 TELECOM
60486,11,1,Swiss Networking Solutions AG
44444,11,1,Forcepoint UK Limited
58061,11,1,Scalaxy B.V.
54103,11,1,"MOD Mission Critical, LLC"
53343,11,1,sc Network
263267,11,1,VIUNET PROVIMENTO DE ACESSO A INTERNET LTDA - ME
22604,11,0,Disney Streaming Services
205638,11,0,"""TBANK"" JSC"
201119,11,0,Icewood LLC
62597,11,0,NSONE Inc
12888,11,0,Amadeus GmbH
60387,11,0,Known Holdings LTD
205848,11,0,Dominik Pohl
206042,11,0,Suhail Haris
209854,11,0,Cyberzone S.A.
201386,11,0,MYRNA MISAKA NETWORK INC
202736,11,0,WISDOM CLOUD INTERNET TECHNOLOGY PTE. LTD.
49287,11,0,Melbikomas UAB
800,11,0,OneWeb
397074,11,0,Marshalls
22283,11,0,Sidley Austin LLP
199073,11,0,IMPLETECH LIMITED
25773,11,0,RADWARE INC.
6404,11,0,"FactSet Research Systems, Inc."
401401,11,0,Unredacted Inc
5405,10,3352,Inter.link GmbH
9049,10,979,"JSC ""ER-Telecom Holding"""
13786,10,821,"Seaborn (Seabras USA, LLC)"
50509,10,366,Transroute.Net
29076,10,355,Citytelecom LLC
264409,10,338,Huge Networks
139009,10,316,Windstream Communication Limited
3255,10,277,Ukrainian Academic and Research Network
22381,10,274,SAMM (Megatelecom)
28598,10,191,MOB
43298,10,181,Storm Networks LLC
45899,10,179,VNPT Corp
201706,10,179,SERVICEPIPE LLC
41327,10,175,Fiber Telecom S.p.A.
135607,10,169,Infinivan Incorporated
37271,10,165,Workonline Communications(Pty) Ltd
4761,10,159,PT Indosat Tbk
26615,10,138,TIM S/A
11172,10,114,"Alestra, S. de R.L. de C.V."
35168,10,95,TNS-Plus LLP
52863,10,92,UPX TECNOLOGIA LTDA
28220,10,78,Alares Internet
6768,10,51,"""EUROTELE-PLUS"" LLC"
6849,10,45,"JSC ""Ukrtelecom"""
134823,10,42,"Sky Digital Co., Ltd."
27951,10,41,Media Commerce Partners S.A
38235,10,36,ANGKOR DATA COMMUNICATION
24940,10,35,Hetzner Online GmbH
8492,10,34,"""OBIT"" Ltd."
38008,10,33,Aperture Science Limited
55666,10,31,PT Media Sarana Data
4538,10,26,China Education and Research Network Center
135391,10,25,"Aofei Data International Co., Ltd."
983,10,24,Akari Networks LLC
25549,10,22,JSC Avantel
9541,10,20,Cyber Internet Services (Pvt) Ltd.
61461,10,20,Airtek Solutions C.A.
45489,10,19,Sri Lanka Telecom PLC
45796,10,17,UIH / BB Connect
210756,10,17,EdgeCenter LLC
42156,10,16,GNX B.V.
17547,10,14,M1 NET LTD
51178,10,14,JSC Avantel
64050,10,13,BGP Network Limited
60764,10,11,Telecom Samara LLC
13984,10,9,SD Data Center
23031,10,9,TELECU TELECOMUNICACIONES DEL ECUADOR TELECUSA S.A.S.
10111,10,9,Zeofast Network
4226,10,8,Sumofiber
132876,10,8,Symphony Communication (Thailand) PCL.
393954,10,5,CFN Services Inc.
11158,10,5,"NTT America, Inc."
56694,10,4,LLC Smart Ape
210000,10,4,TwentyWAN MB
133847,10,4,Anpple Tech Enterprise
61112,10,3,AKILE LTD
206264,10,3,Amarutu Technology Ltd
204957,10,3,GREEN FLOID LLC
208753,10,3,Marco d'Angelo
206813,10,3,4830.org e. V.
24638,10,3,Rambler Internet Holding LLC
39927,10,3,E-Light-Telecom Ltd.
201701,10,2,Freifunk Rheinland e.V.
203724,10,2,Musarubra Germany GmbH
203062,10,1,Alexandre Roux
56971,10,1,CGI GLOBAL LIMITED
4913,10,1,"Speedcast Communications, Inc"
33127,10,1,Integrated Systems Corp
57169,10,1,EDIS GmbH
216299,10,1,Yang Liuchang
20340,10,1,"CallTower, Inc."
63981,10,1,Nova Technology Development (Hong Kong) Limited
40703,10,1,"Turner Broadcasting System, Inc."
41560,10,1,UGMK-Telecom LLC
10879,10,0,Unitedhealthcare
31451,10,0,Thomas King
202448,10,0,MVPS LTD
54896,10,0,SMC Corporation of America
30175,10,0,EPICOR
36184,10,0,Virtu Financial Operating LLC
206614,10,0,Taboola.com ltd
13431,10,0,"Millennium Partners, L.P."
7602,10,0,Sai gon Postel Corporation
209199,10,0,Cloud Unboxed Limited
40627,10,0,RingCentral Inc
401835,10,0,Brass City Residences Inc.
41745,10,0,Baykov Ilya Sergeevich
209650,10,0,Wu Zhiyuan
64120,10,0,NOCPERU-LATIN TECHNOLOGIES
136041,10,0,"Singapore Telecom, ConnectPlus"
12211,10,0,Operations & Compliance Network LLC
400318,10,0,"Versa Networks, Inc."
39684,10,0,OOO Mango Telecom
28409,10,0,ENI NETWORKS SAPI de CV
13778,10,0,Johnson & Johnson
262805,10,0,REDE MINAS TELECOM LTDA
204903,10,0,FLASHSTART GROUP SRL
11323,10,0,"Getty Images (Seattle), Inc."
262393,10,0,A ALVES GOMES INFORMATICA - ME
211316,10,0,Adyen N.V.
55290,10,0,Depository Trust & Clearing Corporation
32528,10,0,ROSS PRODUCTS DIVISION
262792,10,0,GRUPO VESC
13631,10,0,CITADEL ENTERPRISE AMERICAS LLC
13188,10,0,Triolan
59437,10,0,Northern Data AG
41625,10,0,Express Teleservice Corp
215750,10,0,DAQIAN HUANG
207471,10,0,Sokol Media d.o.o
38047,10,0,Taiwan Telecom
150289,10,0,Sun Yanzheng
215540,10,0,GLOBAL CONNECTIVITY SOLUTIONS LLP
30383,10,0,General Motors LLC
6648,10,0,"Bayan Telecommunications, Inc."
52549,10,0,NET PREMIUM LTDA - ME
26464,10,0,"Joyent, Inc."
38166,10,0,Standard Chartered Bank (Hong Kong) Limited.Banking and
204871,10,0,Shihabudheen P K
202196,10,0,Booking.com BV
34549,9,34644,meerfarbig GmbH & Co. KG
137409,9,5068,GSL Networks Pty LTD
1257,9,1133,Tele2 Sverige AB
136106,9,532,PT Mega Akses Persada
9318,9,528,SK Broadband Co Ltd
138840,9,414,PT Parsaoran Global Datatrans
35297,9,320,Dataline LLC
18229,9,315,CtrlS
52965,9,244,1Telecom
11432,9,241,Telium Telecomunicações Ltda
812,9,231,Rogers Communications Canada Inc.
12874,9,224,Fastweb SpA
1828,9,209,Unitas Global
53181,9,206,K2 Telecom e Multimidia LTDA ME
58389,9,203,PT Sumber Data Indonesia
59796,9,190,StormWall s.r.o.
38195,9,184,Superloop
263444,9,179,Open X Tecnologia Ltda
8866,9,170,Vivacom Bulgaria EAD
22356,9,151,Durand do Brasil Ltda
29075,9,147,IELO-LIAZO SERVICES SAS
58495,9,141,PT Parsaoran Global Datatrans
7552,9,121,Viettel Group
12400,9,118,Partner Communications Ltd.
8772,9,110,NetAssist LLC
28126,9,106,BRISANET SERVICOS DE TELECOMUNICACOES S.A
268696,9,100,Tuddo Telecom Ltda.
8151,9,99,UNINET
5606,9,95,GTS Telecom SRL
44600,9,91,"""GIGATRANS UKRAINE"", LLC"
12963,9,85,"Scientific Industrial Firm ""Volz"" Ltd"
6789,9,63,CRELCOM LLC
2687,9,60,"AT&T Enterprises, LLC"
26042,9,60,"FiberState, LLC"
17494,9,59,Bangladesh Telegraph & Telephone Board
11260,9,48,EastLink
6697,9,47,Beltelecom
17451,9,46,Biznet Networks
327708,9,44,Airtel Rwanda Ltd
15802,9,39,Emirates Integrated Telecommunications Company PJSC
25645,9,34,"Momentum Telecom, Inc."
273683,9,30,ALLREDE TELECOM LTDA
21013,9,29,eww ag
45250,9,28,Vocom International Telecommunications AP Area
9886,9,27,CTCSCI TECH LIMITED
213605,9,27,Liu HaoRan
140570,9,26,Hong Kong Beecloud System Technology Services Limited
49127,9,24,Asimo Networks B.V.
136168,9,23,Campana MYTHIC Co. Ltd.
262725,9,22,CONECT
61138,9,22,Zappie Host LLC
263237,9,20,PowerHost Telecom SPA
51964,9,20,ORANGE BUSINESS SERVICES U.S. Inc.
46475,9,18,"Limestone Networks, Inc."
28649,9,18,Desktop Sigmanet Comunicação Multimídia SA
135409,9,18,Kacific Broadband Satellites Pte Ltd
19855,9,17,"Masergy Communications, Inc."
3300,9,17,British Telecommunications PLC
48166,9,15,FORTEX CJSC
32595,9,14,"Liberally Network, LLC"
61468,9,14,CEDIA
31034,9,13,Aruba S.p.A.
153371,9,13,BACK WAVES LIMITED
131429,9,12,MOBIFONE Corporation
45804,9,12,MEGHBELA BROADBAND
148968,9,12,Falcore Investments Pty Ltd
21453,9,12,Flex Ltd.
48293,9,11,Uniontel Ltd
12491,9,11,Gilat Telecom Ltd.
20278,9,10,"Nexeon Technologies, Inc."
59589,9,9,LLC KA-2
57695,9,8,"Misaka Network, Inc."
16524,9,7,MetTel
11340,9,7,Red Universitaria Nacional
41378,9,7,Kirino LLC
28773,9,7,Global Technologies of Ukraine LLC
131314,9,7,CBC Tech International Limited
17476,9,6,CloudRadium (HK) Limited
5416,9,6,BEYON B.S.C.
9500,9,6,One New Zealand Group Limited
14114,9,4,SAP NIE
8540,9,4,AMA netwoRX GmbH
42295,9,4,TBISS Ltd
50923,9,4,Metroset Ltd.
265335,9,3,PLANETA NET TELECOM
23673,9,3,"Cogetel Online, Cambodia, ISP"
197695,9,2,"""Domain names registrar REG.RU"", Ltd"
48940,9,2,Link Ltd.
50224,9,2,MTRL GROUP LIMITED
29067,9,2,Hostmaster LLC
12252,9,2,America Movil Peru S.A.C.
45543,9,2,SaiGon Tourist cable Televition Company
63018,9,2,Dedicated.com
7568,9,2,CS LOXINFO Public Company Limited.
263650,9,2,Clicfacil Telecom
49675,9,1,SKB Kontur Production JSC
41275,9,1,Lovitel LLC
30417,9,1,BTIG LLC
262687,9,1,Screen Saver Informática LTDA
53205,9,1,IBSOL TELECOM LTDA
7734,9,1,Toronto Dominion Bank
48158,9,1,DigitalOne AG
28075,9,1,ARLINK S.A.
48237,9,1,"Etihad Etisalat, a joint stock company"
140227,9,1,"Hong Kong Communications International Co., Limited"
133504,9,1,PAOCLOUD
271627,9,1,ZAP TELECOM EIRELI
21504,9,0,"The Bessemer Group, Inc."
20464,9,0,HP Inc.
12701,9,0,Barclays Bank plc
59451,9,0,Al-Bank Al-Arabi PLC. CO.
52778,9,0,VILANET INFORMÁTICA
17158,9,0,"Datto, LLC"
18438,9,0,Brown Brothers Harriman & Company
132825,9,0,MYTEK TRADING PTY LTD
132046,9,0,Sunbridge worldwide LTD
200078,9,0,Gao Yijia
54535,9,0,"Nike, Inc."
137718,9,0,"Beijing Volcano Engine Technology Co., Ltd."
22216,9,0,Siemens Corporation
32575,9,0,"DigiCert, Inc."
150436,9,0,Byteplus Pte. Ltd.
263611,9,0,ZUM TELECOM LTDA- ME
399768,9,0,Verition Group LLC
204535,9,0,Tan Kok Feng
17428,9,0,"VNET Group, Inc."
56683,9,0,EXNESS LIMITED
20347,9,0,Nvidia Corporation
48851,9,0,Radware Ltd
13684,9,0,"Medtronic, Incorporated"
2635,9,0,"Automattic, Inc"
14203,9,0,"Juniper Networks, Inc."
13821,9,0,AllianceBernstein L.P.
25875,9,0,FriendFinder Networks Inc
205111,9,0,ZOHO Corporation B.V
49106,9,0,Opticom Group AO
214155,9,0,Saily Inc.
11941,9,0,"Pillsbury Madison & Sutro, Inc."
199610,9,0,marbis GmbH
7489,9,0,HostUS
46784,9,0,"Davis Polk & Wardwell, LLP"
29588,9,0,Ivstar Ltd
17350,9,0,Moody's Corp.
197482,9,0,DoubleGIS LLC
17003,9,0,Zoetis Inc.
400110,9,0,Anuvu Operations LLC
36671,9,0,"TWO SIGMA INVESTMENTS, LP"
25934,9,0,"Syniverse Technologies, LLC"
53712,9,0,Wellington Management Company LLP
13360,9,0,Triton Digital
396922,9,0,"Cisco Systems, Inc."
43515,9,0,Google Ireland Limited
14610,9,0,Integral Development Corp.
