Rank,ASN,Cone_Size,Node_Degree,Direct_Customers
945,49127,27,61,21
946,44735,27,54,26
947,3462,27,65,26
948,3342,27,30,25
949,12831,27,31,26
950,26415,27,55,25
951,264288,27,32,25
952,139883,27,31,26
953,49434,27,47,14
954,52974,27,33,26
955,61138,27,45,25
956,2381,27,45,27
957,34718,27,28,27
958,7311,27,45,27
959,34772,27,52,26
960,399855,27,30,27
961,36873,27,39,26
962,265144,27,39,25
963,42313,27,31,24
964,12337,27,50,27
965,153068,27,33,20
966,855,27,36,27
967,265061,27,36,27
968,25454,27,34,26
969,9886,27,50,21
970,9063,27,47,26
971,680,27,47,27
972,12975,27,33,26
973,10242,27,39,26
974,668,27,32,27
975,14593,27,98,13
976,28258,26,34,20
977,23956,26,29,22
978,140570,26,49,25
979,35432,26,55,23
980,62240,26,60,22
981,45049,26,56,13
982,20771,26,35,26
983,21826,26,31,24
984,50309,26,46,22
985,4538,26,45,24
986,8758,26,51,23
987,61231,26,45,26
988,10143,26,29,26
989,136168,26,40,22
990,9230,26,30,26
991,10430,26,27,26
992,61678,26,35,26
993,15958,26,58,23
994,23314,26,29,26
995,26744,25,32,20
996,10835,25,29,23
997,14041,25,29,22
998,2852,25,51,18
999,264144,25,34,25
1000,3329,25,29,22
1001,35133,25,51,19
1002,62206,25,32,24
1003,8501,25,30,21
1004,55140,25,28,24
1005,24173,25,42,25
1006,52587,25,32,24
1007,20119,25,39,24
1008,135391,25,56,21
1009,55329,25,59,19
1010,12615,25,55,23
1011,58463,25,32,24
1012,24637,25,54,25
1013,29467,25,57,22
1014,9038,25,35,24
1015,21299,25,28,25
1016,268925,25,31,23
1017,262773,25,37,22
1018,36149,25,31,24
1019,61512,25,37,25
1020,214757,25,46,16
1021,23961,25,38,21
1022,393577,25,42,25
1023,18106,25,65,20
1024,14080,25,33,25
1025,20141,25,33,25
1026,12387,24,46,24
1027,17806,24,35,22
1028,14537,24,80,23
1029,5580,24,46,20
1030,28910,24,46,18
1031,4618,24,33,24
1032,2603,24,50,9
1033,22925,24,31,24
1034,25472,24,31,23
1035,786,24,50,24
1036,25400,24,33,24
1037,48347,24,36,24
1038,208905,24,39,24
1039,56595,24,43,24
1040,38758,24,32,24
1041,51088,24,54,24
1042,8517,24,28,24
1043,13004,24,54,21
1044,803,24,42,24
1045,6846,24,29,24
1046,51465,24,45,22
1047,47692,24,45,23
1048,263998,24,47,23
1049,268689,24,34,24
1050,7720,24,41,24
1051,198477,24,26,23
1052,12189,24,61,24
1053,11556,24,26,24
1054,27693,24,36,24
1055,8985,24,35,23
1056,21473,23,56,23
1057,263047,23,29,20
1058,6736,23,26,23
1059,48422,23,33,22
1060,37084,23,30,23
1061,7381,23,26,23
1062,9129,23,21,19
1063,141898,23,29,23
1064,327992,23,25,23
1065,45250,23,39,21
1066,205132,23,25,23
1067,2586,23,28,23
1068,41998,23,46,23
1069,14051,23,28,23
1070,9125,23,49,23
1071,983,23,47,23
1072,29518,23,28,21
1073,265442,23,26,21
1074,23838,23,31,23
1075,27065,23,26,23
1076,401753,23,33,21
1077,8048,23,27,23
1078,264170,22,33,22
1079,55808,22,23,22
1080,21277,22,44,17
1081,38082,22,58,12
1082,16347,22,44,21
1083,26827,22,29,22
1084,270158,22,46,19
1085,25248,22,33,22
1086,15169,22,93,21
1087,393444,22,23,19
1088,264996,22,31,21
1089,15525,22,24,22
1090,21738,22,36,19
1091,51765,22,32,21
1092,7992,22,33,22
1093,39153,22,30,20
1094,39180,22,50,22
1095,766,22,32,21
1096,197071,22,45,19
1097,29405,22,50,22
1098,396926,22,25,22
1099,47626,22,35,22
1100,53828,22,46,22
1101,20860,22,41,20
1102,24514,22,26,22
1103,266520,22,35,22
1104,25549,22,35,22
1105,4270,21,24,21
1106,9723,21,28,21
1107,6848,21,33,21
1108,376,21,33,21
1109,23201,21,25,21
1110,13150,21,99,5
1111,56040,21,27,21
1112,29909,21,33,21
1113,32440,21,25,21
1114,7693,21,27,20
1115,40581,21,28,21
1116,26794,21,26,21
1117,42927,21,28,21
1118,6922,21,25,21
1119,8657,21,46,9
1120,27717,21,27,21
1121,133385,21,32,17
1122,8047,21,34,21
1123,38203,21,27,21
1124,7122,21,23,21
1125,12200,21,47,19
1126,8001,21,37,21
1127,2153,21,28,21
1128,33185,21,33,21
1129,62000,21,44,14
1130,15695,21,96,17
1131,45204,21,31,21
1132,396356,21,61,20
1133,1887,21,24,21
1134,59105,21,33,20
1135,5518,21,24,21
1136,33915,21,23,21
1137,39801,21,44,18
1138,58629,21,26,21
1139,62403,20,27,20
1140,10396,20,27,20
1141,56911,20,51,20
1142,268624,20,38,17
1143,15108,20,28,20
1144,64313,20,28,20
1145,39642,20,48,20
1146,47160,20,30,16
1147,11967,20,56,19
1148,147168,20,35,17
1149,56264,20,24,20
1150,24631,20,26,20
1151,264556,20,23,20
1152,16629,20,23,19
1153,8309,20,53,16
1154,263482,20,30,18
1155,210756,20,44,18
1156,142271,20,35,20
1157,22742,20,33,20
1158,47272,20,65,20
1159,21021,20,22,20
1160,54825,20,78,20
1161,42861,20,42,19
1162,53587,20,35,20
1163,45735,20,33,19
1164,18013,19,37,16
1165,50928,19,25,19
1166,150593,19,24,17
1167,10241,19,22,19
1168,2027,19,34,19
1169,9136,19,54,17
1170,49808,19,38,18
1171,17625,19,29,19
1172,264984,19,30,19
1173,53237,19,27,16
1174,34867,19,36,19
1175,263237,19,32,17
1176,60446,19,21,17
1177,6471,19,24,19
1178,8368,19,54,19
1179,6208,19,26,19
1180,12684,19,59,16
1181,25933,19,27,19
1182,265290,19,31,19
1183,14230,19,34,19
1184,266583,19,35,18
1185,33489,19,24,19
1186,262342,19,29,19
1187,328977,19,46,16
1188,27988,19,29,19
1189,23470,19,39,17
1190,101,19,35,19
1191,47794,19,46,18
1192,61758,19,25,18
1193,20454,19,24,19
1194,61461,19,36,14
1195,44103,19,45,19
1196,57630,19,28,17
1197,28968,19,33,16
1198,37148,19,33,19
1199,31376,19,30,19
1200,132602,19,50,13
1201,29491,18,25,17
1202,13127,18,20,18
1203,7843,18,43,16
1204,14244,18,25,18
1205,20712,18,39,18
1206,394177,18,35,16
1207,15808,18,25,18
1208,271,18,25,18
1209,32298,18,21,18
1210,18450,18,36,14
1211,61503,18,21,18
1212,197453,18,34,18
1213,19024,18,27,18
1214,13768,18,42,17
1215,44066,18,51,18
1216,262725,18,49,17
1217,131284,18,22,18
1218,29670,18,40,18
1219,55039,18,28,18
1220,33576,18,21,17
1221,56910,18,27,18
1222,61618,18,26,18
1223,42781,18,20,18
1224,32703,18,21,18
1225,47169,18,26,18
1226,31122,18,44,18
1227,51028,18,38,18
1228,14282,18,27,15
